* This is the BiomeMobWeight report file that is output every time the server starts.,RESTART GAME FOR CHANGES TO TAKE EFFECT,,NEGATIVE WEIGHT = NO SPAWN,SERVERCORE CONFIG FOR MOB CATEGORY CAPS,,,
47, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
48, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
49, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
50, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
51, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
52, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
53, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
54, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
55, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:swarmer,11,1,1
56, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
57, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
58, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
59, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
60, ocean, alexscaves:abyssal_chasm, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
61, ocean, alexscaves:abyssal_chasm, AMBIENT, alexsmobs:fly,3,2,3
62, ocean, alexscaves:abyssal_chasm, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,100,4,6
63, ocean, alexscaves:abyssal_chasm, UNDERGROUND_WATER_CREATURE, alexscaves:hullbreaker,20,1,1
64, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, minecraft:squid,1,1,4
65, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, minecraft:dolphin,1,1,2
66, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:cachalot_whale,2,1,2
67, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:frilled_shark,2,1,1
68, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:giant_squid,3,1,2
69, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
70, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
71, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexscaves:lanternfish,100,15,20
72, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexsmobs:blobfish,30,2,2
73, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexsmobs:comb_jelly,40,2,3
74, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexsmobs:devils_hole_pupfish,23,5,12
75, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexsmobs:flying_fish,8,3,6
76, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, aquaculture:atlantic_halibut,2,1,1
77, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, aquaculture:atlantic_herring,20,1,6
78, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, aquaculture:jellyfish,10,1,3
79, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, aquaculture:red_grouper,6,1,2
80, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, aquaculture:tuna,1,1,1
81, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:tripodfish,40,1,2
82, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:sea_pig,50,3,4
83, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:gossamer_worm,20,1,1
84, ocean, alexscaves:abyssal_chasm, rascals, friendsandfoes:rascal,4,1,1
85, none, undergarden:ancient_sea, MONSTER, undergarden:nargoyle,50,1,1
86, none, undergarden:ancient_sea, MONSTER, undergarden:muncher,50,1,1
87, none, undergarden:ancient_sea, MONSTER, undergarden:sploogie,50,1,1
88, none, undergarden:ancient_sea, MONSTER, undergarden:rotling,100,2,4
89, none, undergarden:ancient_sea, MONSTER, undergarden:rotwalker,100,4,4
90, none, undergarden:ancient_sea, MONSTER, undergarden:rotbeast,100,1,2
91, none, undergarden:ancient_sea, MONSTER, alexsmobs:farseer,30,1,1
92, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
93, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
94, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
95, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
96, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
97, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
98, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
99, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
100, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
101, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
102, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:door_knight,13,1,1
103, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
104, none, undergarden:ancient_sea, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
105, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
106, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:krampus,2,1,1
107, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
108, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
109, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:missioner,4,1,1
110, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
111, none, undergarden:ancient_sea, MONSTER, mowziesmobs:grottol,2,1,1
112, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
113, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
114, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
115, none, undergarden:ancient_sea, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
116, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
117, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
118, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
119, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
120, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
121, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
122, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
123, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
124, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
125, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:swarmer,11,1,1
126, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
127, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
128, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
129, none, undergarden:ancient_sea, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
130, none, undergarden:ancient_sea, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
131, none, undergarden:ancient_sea, AMBIENT, undergarden:scintling,5,4,8
132, none, undergarden:ancient_sea, WATER_CREATURE, undergarden:gwib,10,1,1
133, none, undergarden:ancient_sea, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
134, none, undergarden:ancient_sea, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
135, none, undergarden:ancient_sea, WATER_AMBIENT, undergarden:gwibling,5,3,6
136, none, undergarden:ancient_sea, WATER_AMBIENT, aquaculture:bluegill,20,1,6
137, none, undergarden:ancient_sea, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
138, none, undergarden:ancient_sea, WATER_AMBIENT, aquaculture:carp,10,1,3
139, none, undergarden:ancient_sea, WATER_AMBIENT, aquaculture:catfish,1,1,1
140, none, undergarden:ancient_sea, WATER_AMBIENT, aquaculture:gar,6,1,2
141, none, undergarden:ancient_sea, WATER_AMBIENT, aquaculture:minnow,18,1,5
142, none, undergarden:ancient_sea, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
143, none, undergarden:ancient_sea, WATER_AMBIENT, aquaculture:perch,20,1,6
144, none, undergarden:ancient_sea, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
145, none, voidscape:antispires, MONSTER, alexsmobs:farseer,30,1,1
146, none, voidscape:antispires, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
147, none, voidscape:antispires, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
148, none, voidscape:antispires, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
149, none, voidscape:antispires, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
150, none, voidscape:antispires, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
151, none, voidscape:antispires, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
152, none, voidscape:antispires, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
153, none, voidscape:antispires, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
154, none, voidscape:antispires, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
155, none, voidscape:antispires, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
156, none, voidscape:antispires, MONSTER, born_in_chaos_v1:door_knight,13,1,1
157, none, voidscape:antispires, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
158, none, voidscape:antispires, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
159, none, voidscape:antispires, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
160, none, voidscape:antispires, MONSTER, born_in_chaos_v1:krampus,2,1,1
161, none, voidscape:antispires, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
162, none, voidscape:antispires, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
163, none, voidscape:antispires, MONSTER, born_in_chaos_v1:missioner,4,1,1
164, none, voidscape:antispires, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
165, none, voidscape:antispires, MONSTER, mowziesmobs:grottol,2,1,1
166, none, voidscape:antispires, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
167, none, voidscape:antispires, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
168, none, voidscape:antispires, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
169, none, voidscape:antispires, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
170, none, voidscape:antispires, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
171, none, voidscape:antispires, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
172, none, voidscape:antispires, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
173, none, voidscape:antispires, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
174, none, voidscape:antispires, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
175, none, voidscape:antispires, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
176, none, voidscape:antispires, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
177, none, voidscape:antispires, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
178, none, voidscape:antispires, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
179, none, voidscape:antispires, MONSTER, born_in_chaos_v1:swarmer,11,1,1
180, none, voidscape:antispires, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
181, none, voidscape:antispires, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
182, none, voidscape:antispires, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
183, none, voidscape:antispires, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
184, none, voidscape:antispires, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
185, none, voidscape:antispires, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
186, none, voidscape:antispires, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
187, none, voidscape:antispires, WATER_AMBIENT, aquaculture:bluegill,20,1,6
188, none, voidscape:antispires, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
189, none, voidscape:antispires, WATER_AMBIENT, aquaculture:carp,10,1,3
190, none, voidscape:antispires, WATER_AMBIENT, aquaculture:catfish,1,1,1
191, none, voidscape:antispires, WATER_AMBIENT, aquaculture:gar,6,1,2
192, none, voidscape:antispires, WATER_AMBIENT, aquaculture:minnow,18,1,5
193, none, voidscape:antispires, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
194, none, voidscape:antispires, WATER_AMBIENT, aquaculture:perch,20,1,6
195, none, voidscape:antispires, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
196, nether, incendium:ash_barrens, MONSTER, minecraft:ghast,20,1,1
197, nether, incendium:ash_barrens, MONSTER, minecraft:magma_cube,100,2,7
198, nether, incendium:ash_barrens, MONSTER, minecraft:piglin,100,1,1
199, nether, incendium:ash_barrens, MONSTER, alexsmobs:bone_serpent,8,1,1
200, nether, incendium:ash_barrens, MONSTER, alexsmobs:crimson_mosquito,15,4,4
201, nether, incendium:ash_barrens, MONSTER, alexsmobs:farseer,30,1,1
202, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
203, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
204, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
205, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
206, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
207, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
208, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
209, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
210, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
211, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
212, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:door_knight,13,1,1
213, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
214, nether, incendium:ash_barrens, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
215, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
216, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:krampus,2,1,1
217, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
218, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
219, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:missioner,4,1,1
220, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
221, nether, incendium:ash_barrens, MONSTER, mowziesmobs:grottol,2,1,1
222, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
223, nether, incendium:ash_barrens, MONSTER, majruszsdifficulty:cerberus,1,1,1
224, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
225, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
226, nether, incendium:ash_barrens, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
227, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
228, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
229, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
230, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
231, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
232, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
233, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
234, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
235, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
236, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:swarmer,11,1,1
237, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
238, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
239, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
240, nether, incendium:ash_barrens, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
241, nether, incendium:ash_barrens, CREATURE, minecraft:strider,60,1,2
242, nether, incendium:ash_barrens, CREATURE, alexsmobs:laviathan,15,1,1
243, nether, incendium:ash_barrens, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
244, nether, incendium:ash_barrens, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
245, nether, incendium:ash_barrens, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
246, nether, incendium:ash_barrens, WATER_AMBIENT, netherdepthsupgrade:bonefish,8,1,5
247, nether, incendium:ash_barrens, WATER_AMBIENT, netherdepthsupgrade:fortressgrouper,3,1,2
248, nether, incendium:ash_barrens, WATER_AMBIENT, netherdepthsupgrade:searing_cod,10,3,6
249, badlands, minecraft:badlands, MONSTER, minecraft:spider,100,4,4
250, badlands, minecraft:badlands, MONSTER, minecraft:zombie,95,4,4
251, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager,5,1,1
252, badlands, minecraft:badlands, MONSTER, minecraft:skeleton,100,4,4
253, badlands, minecraft:badlands, MONSTER, minecraft:slime,100,4,4
254, badlands, minecraft:badlands, MONSTER, minecraft:witch,5,1,1
255, badlands, minecraft:badlands, MONSTER, alexsmobs:centipede_head,8,1,1
256, badlands, minecraft:badlands, MONSTER, alexsmobs:farseer,30,1,1
257, badlands, minecraft:badlands, MONSTER, alexsmobs:murmur,5,1,1
258, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
259, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
260, badlands, minecraft:badlands, MONSTER, creeperoverhaul:badlands_creeper,75,2,2
261, badlands, minecraft:badlands, MONSTER, endermanoverhaul:badlands_enderman,10,1,4
262, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
263, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
264, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
265, badlands, minecraft:badlands, MONSTER, creeperoverhaul:cave_creeper,75,2,2
266, badlands, minecraft:badlands, MONSTER, endermanoverhaul:cave_enderman,2,1,2
267, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
268, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
269, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
270, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
271, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
272, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:door_knight,13,1,1
273, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
274, badlands, minecraft:badlands, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
275, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
276, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:krampus,2,1,1
277, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
278, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
279, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:missioner,4,1,1
280, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
281, badlands, minecraft:badlands, MONSTER, mowziesmobs:grottol,2,1,1
282, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
283, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
284, badlands, minecraft:badlands, MONSTER, majruszsdifficulty:cursed_armor,30,1,3
285, badlands, minecraft:badlands, MONSTER, majruszsdifficulty:illusioner,8,1,1
286, badlands, minecraft:badlands, MONSTER, majruszsdifficulty:tank,3,1,1
287, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
288, badlands, minecraft:badlands, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
289, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
290, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
291, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
292, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
293, badlands, minecraft:badlands, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
